timestamp,hostname,endpoint_id,os_type,pid,ppid,process_name,cmd,cpu_percent,memory,risk_score,label
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,430,1,lsd,/usr/libexec/lsd,0.0,20561920,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,528,1,VTDecoderXPCService,/System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService,0.0,7307264,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,536,1,suggestd,/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd,0.0,102252544,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,1700,1,backgroundassets.user,/usr/libexec/backgroundassets.user,0.0,7634944,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,565,1,UIKitSystem,/System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start,0.0,33062912,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,155,1,loginwindow,/System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console,0.0,39043072,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,485,1,donotdisturbd,/System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd,0.0,33079296,0,0
1747112813,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,2464,1,AuthenticationServicesAgent,/System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent,0.0,15204352,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,5344,1,IMAutomaticHistoryDeletionAgent,/System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent,0.0,14434304,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,5336,1,SiriCoreMetricsWorker,/System/Library/ExtensionKit/Extensions/SiriCoreMetricsWorker.appex/Contents/MacOS/SiriCoreMetricsWorker,0.0,12730368,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,741,1,CursorUIViewService,/System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService,0.7,28901376,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,3411,1,proactiveeventtrackerd,/usr/libexec/proactiveeventtrackerd,0.0,6389760,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,3020,1,BTLEServerAgent,/usr/sbin/BTLEServerAgent,0.0,7176192,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,15254,1,avatarsd,/System/Library/PrivateFrameworks/AvatarPersistence.framework/Support/avatarsd,0.0,28327936,0,0
1747112818,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,474,1,identityservicesd,/System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd,0.0,49332224,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,1368,1,com.apple.audio.SandboxHelper,/System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper,0.0,3817472,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,661,1,findmylocateagent,/usr/libexec/findmylocateagent,0.0,19972096,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,17825,17823,python3.11,"/Users/jermainebaker/anaconda3/envs/edr-env/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=5, pipe_handle=7) --multiprocessing-fork",0.2,347193344,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,642,1,seserviced,/usr/libexec/seserviced,0.0,7946240,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,1557,1,mdwrite,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite,0.0,8552448,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,430,1,lsd,/usr/libexec/lsd,0.0,20561920,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,16214,1,HeadphoneSettingsExtension,/System/Library/ExtensionKit/Extensions/HeadphoneSettingsExtension.appex/Contents/MacOS/HeadphoneSettingsExtension,0.0,28000256,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,470,1,tccd,/System/Library/PrivateFrameworks/TCC.framework/Support/tccd,0.0,16793600,0,0
1747112823,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,716,1,PlugInLibraryService,/System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService,0.0,2883584,0,0
1747112828,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,528,1,VTDecoderXPCService,/System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService,0.0,7307264,0,0
1747112828,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,5363,1,BitacoraWorker,/System/Library/ExtensionKit/Extensions/BitacoraWorker.appex/Contents/MacOS/BitacoraWorker,0.0,12222464,0,0
1747112828,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,17797,1,mdworker_shared,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,0.0,21168128,0,0
